cd_municipio;pais;pagina;numero;votos;pct_impresso
98841;INGLATERRA;16;11;14;1.08
98841;INGLATERRA;16;12;13;1.00
98841;INGLATERRA;16;56;11;0.85
98841;INGLATERRA;16;15;9;0.69
98841;INGLATERRA;16;20;1;0.08
98841;INGLATERRA;16;36;1;0.08
98868;CUBA;10;95;0;
98868;CUBA;10;96;0;
98868;CUBA;10;45;24;63.16
98868;CUBA;10;13;12;31.58
98868;CUBA;10;56;2;5.26
98906;CANADA;8;95;20;
98906;CANADA;8;96;36;
98906;CANADA;8;45;638;56.36
98906;CANADA;8;13;396;34.98
98906;CANADA;8;12;34;3.00
98906;CANADA;8;56;22;1.94
98906;CANADA;8;15;19;1.68
98906;CANADA;8;11;14;1.24
98906;CANADA;8;36;6;0.53
98906;CANADA;8;20;3;0.27
98922;BELGICA;7;95;2;
98922;BELGICA;7;96;6;
98922;BELGICA;7;13;117;47.56
98922;BELGICA;7;45;114;46.34
98922;BELGICA;7;12;6;2.44
98922;BELGICA;7;15;4;1.63
98922;BELGICA;7;11;2;0.81
98922;BELGICA;7;20;1;0.41
98922;BELGICA;7;56;1;0.41
98922;BELGICA;7;36;1;0.41
98949;AUSTRIA;7;95;2;
98949;AUSTRIA;7;96;10;
98949;AUSTRIA;7;13;111;
98949;AUSTRIA;7;45;108;
98949;AUSTRIA;7;12;4;1.75
98949;AUSTRIA;7;11;2;0.88
98949;AUSTRIA;7;20;2;0.88
98949;AUSTRIA;7;36;1;0.44
98965;ANGOLA;5;95;0;
98965;ANGOLA;5;96;4;
98965;ANGOLA;5;45;84;73.68
98965;ANGOLA;5;13;19;16.67
98965;ANGOLA;5;56;4;3.51
98965;ANGOLA;5;11;2;1.75
98965;ANGOLA;5;15;2;1.75
98965;ANGOLA;5;12;1;0.88
98965;ANGOLA;5;20;1;0.88
98965;ANGOLA;5;36;1;0.88
98981;AUSTRALIA;6;95;0;
98981;AUSTRALIA;6;96;4;
98981;AUSTRALIA;6;45;90;43.69
98981;AUSTRALIA;6;13;89;43.20
98981;AUSTRALIA;6;56;15;7.28
98981;AUSTRALIA;6;11;6;2.91
98981;AUSTRALIA;6;15;4;1.94
98981;AUSTRALIA;6;12;2;0.97
