UF,Ano,CD_Municipio,Municipio,Zona,Tipo_Problema,Detalhe,Votos_Afetados,Pct_Votos_Municipio
PI,2000,10065,BOM PRINCÍPIO DO PIAUÍ,4,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: ILHA GRANDE, PARNAÍBA",3634,100.0
PI,2000,12149,BOQUEIRÃO DO PIAUÍ,96,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: CAMPO MAIOR, NOSSA SENHORA DE NAZARÉ",2839,100.0
PI,2000,12360,COCAL DE TELHA,7,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: CAMPO MAIOR, JATOBÁ DO PIAUÍ, SIGEFREDO PACHECO",2692,100.0
PI,2000,10308,JARDIM DO MULATO,43,ZONA_EM_OUTRO_MUNICIPIO_2006,Zona vinculada em 2006 a: REGENERAÇÃO,2369,100.0
PI,2000,12475,MURICI DOS PORTELAS,33,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: BOM PRINCÍPIO DO PIAUÍ, BURITI DOS LOPES, CARAÚBAS DO PIAUÍ, CAXINGÓ",3479,100.0
PI,2000,12602,RIBEIRA DO PIAUÍ,20,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: CAMPO ALEGRE DO FIDALGO, CAPITÃO GERVÁSIO OLIVEIRA, JOÃO COSTA, LAGOA DO BARRO DO PIAUÍ, NOVA SANTA RITA",2282,100.0
PI,2000,10448,SANTA CRUZ DOS MILAGRES,92,ZONA_EM_OUTRO_MUNICIPIO_2006,Zona vinculada em 2006 a: AROAZES,2082,100.0
PI,2000,11851,SANTA LUZ,15,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: BOM JESUS, CURRAIS, REDENÇÃO DO GURGUÉIA",2902,100.0
PI,2000,12700,SÃO MIGUEL DO FIDALGO,60,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: NAZARÉ DO PIAUÍ, SÃO JOSÉ DO PEIXE",1812,100.0
PI,2000,12521,TANQUE DO PIAUÍ,5,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: CAJAZEIRAS DO PIAUÍ, COLÔNIA DO PIAUÍ, OEIRAS, SANTA ROSA DO PIAUÍ, SÃO FRANCISCO DO PIAUÍ",1435,100.0
PR,2000,74233,ANTÔNIO OLINTO,10,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: CONTENDA, LAPA",5123,100.0
PR,2000,75086,ARIRANHA DO IVAÍ,93,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: ARAPUÃ, IVAIPORÃ",2146,100.0
PR,2000,75299,CRUZEIRO DO OESTE,187,ZONA_EM_OUTRO_MUNICIPIO_2006,Zona vinculada em 2006 a: PINHAIS,2656,22.85
PR,2000,75655,FRANCISCO BELTRÃO,188,ZONA_EM_OUTRO_MUNICIPIO_2006,Zona vinculada em 2006 a: PINHAIS,19099,48.91
PR,2000,75736,GUAIRAÇÁ,138,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: AMAPORÃ, NOVA ALIANÇA DO IVAÍ, PARANAVAÍ, TAMBOARA",3901,100.0
PR,2000,74462,IVATÉ,142,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: DOURADINA, MARIA HELENA, PEROBAL",4508,100.0
PR,2000,75027,NOVA ESPERANÇA DO SUDOESTE,140,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: ENÉAS MARQUES, MARMELEIRO, RENASCENÇA",3362,100.0
PR,2000,79790,NOVA SANTA ROSA,148,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: OURO VERDE DO OESTE, SÃO PEDRO DO IGUAÇU, TOLEDO",4750,100.0
PR,2000,75043,PINHAIS,155,ZONA_EM_OUTRO_MUNICIPIO_2006,Zona vinculada em 2006 a: PIRAQUARA,59522,100.0
PR,2000,79111,TAPEJARA,187,ZONA_EM_OUTRO_MUNICIPIO_2006,Zona vinculada em 2006 a: PINHAIS,7557,100.0
PR,2000,79316,TUNEIRAS DO OESTE,187,ZONA_EM_OUTRO_MUNICIPIO_2006,Zona vinculada em 2006 a: PINHAIS,5159,100.0
PR,2000,74926,VILA ALTA,142,MUNICIPIO_INEXISTENTE_2006,Municipio nao encontrado na base 2006 (nome/criacao),2509,100.0
RJ,2000,58408,ARMAÇÃO DOS BÚZIOS,96,ZONA_EM_OUTRO_MUNICIPIO_2006,Zona vinculada em 2006 a: CABO FRIO,11710,100.0
RJ,2000,58300,CARAPEBUS,109,ZONA_EM_OUTRO_MUNICIPIO_2006,Zona vinculada em 2006 a: MACAÉ,6794,100.0
RJ,2000,58262,IGUABA GRANDE,59,ZONA_EM_OUTRO_MUNICIPIO_2006,Zona vinculada em 2006 a: SÃO PEDRO DA ALDEIA,11925,100.0
