ibge,municipio,ano,zona,local,nome,bairro,endereco,lon_antigo,lat_antigo,lon_novo,lat_novo,km,metodo,confianca,evidencia,motivo
2933307,Vitória da Conquista,2014,40,1872,CENTRO EDUCACIONAL RUY BARBOSA,DISTRITO CERCADINHO,POVOADO CERCADINHO - ZONA RURAL,-40.8206504,-14.8703283,-40.846958,-14.888067,3.45,estabelecimento,media,INSTITUTO DE EDUCACAO RUY BARBOSA [FELICIA],pilha de 10 locais em 50 m (9 localidades rurais distintas)
2933307,Vitória da Conquista,2016,40,1872,CENTRO EDUCACIONAL RUY BARBOSA,DISTRITO CERCADINHO,POVOADO CERCADINHO - ZONA RURAL,-40.8206504,-14.8703283,-40.846958,-14.888067,3.45,estabelecimento,media,INSTITUTO DE EDUCACAO RUY BARBOSA [FELICIA],pilha de 11 locais em 50 m (10 localidades rurais distintas)
2933307,Vitória da Conquista,2018,40,1872,CENTRO EDUCACIONAL RUY BARBOSA,DISTRITO CERCADINHO,POVOADO CERCADINHO - ZONA RURAL,-40.8206504,-14.8703283,-40.846958,-14.888067,3.45,estabelecimento,media,INSTITUTO DE EDUCACAO RUY BARBOSA [FELICIA],pilha de 12 locais em 50 m (11 localidades rurais distintas)
2933307,Vitória da Conquista,2020,40,1872,CENTRO EDUCACIONAL RUY BARBOSA,DISTRITO CERCADINHO,POVOADO CERCADINHO - ZONA RURAL,-40.8206504,-14.8703283,-40.846958,-14.888067,3.45,estabelecimento,media,INSTITUTO DE EDUCACAO RUY BARBOSA [FELICIA],pilha de 12 locais em 50 m (11 localidades rurais distintas)
2933307,Vitória da Conquista,2022,40,1872,CENTRO EDUCACIONAL RUY BARBOSA,DISTRITO CERCADINHO,POVOADO CERCADINHO - ZONA RURAL,-40.8206504,-14.8703283,-40.846958,-14.888067,3.45,estabelecimento,media,INSTITUTO DE EDUCACAO RUY BARBOSA [FELICIA],pilha de 12 locais em 50 m (11 localidades rurais distintas)
2933307,Vitória da Conquista,2006,40,1880,CENTRO EDUCACIONAL TOBIAS BARRETO,DISTRITO VEREDINHA,POVOADO VEREDINHA - ZONA RURAL,-40.8208231,-14.869817,-41.085187,-15.211158,47.45,localidade,media,"localidade VEREDINHA (777 enderecos, raio 1.2 km) | distrito Veredinha",pilha de 12 locais em 50 m (12 localidades rurais distintas)
2933307,Vitória da Conquista,2008,40,1880,CENTRO EDUCACIONAL TOBIAS BARRETO,DISTRITO VEREDINHA,POVOADO VEREDINHA - ZONA RURAL,-40.8208231,-14.869817,-41.085187,-15.211158,47.45,localidade,media,"localidade VEREDINHA (777 enderecos, raio 1.2 km) | distrito Veredinha",pilha de 12 locais em 50 m (12 localidades rurais distintas)
2933307,Vitória da Conquista,2010,40,1880,CENTRO EDUCACIONAL TOBIAS BARRETO,DISTRITO VEREDINHA,POVOADO VEREDINHA - ZONA RURAL,-40.8208231,-14.869817,-41.085187,-15.211158,47.45,localidade,media,"localidade VEREDINHA (777 enderecos, raio 1.2 km) | distrito Veredinha",pilha de 12 locais em 50 m (12 localidades rurais distintas)
2933307,Vitória da Conquista,2012,40,1880,CENTRO EDUCACIONAL TOBIAS BARRETO,DISTRITO VEREDINHA,POVOADO VEREDINHA - ZONA RURAL,-40.8208231,-14.869817,-41.085187,-15.211158,47.45,localidade,media,"localidade VEREDINHA (777 enderecos, raio 1.2 km) | distrito Veredinha",pilha de 12 locais em 50 m (12 localidades rurais distintas)
2933307,Vitória da Conquista,2014,40,1880,CENTRO EDUCACIONAL TOBIAS BARRETO,DISTRITO VEREDINHA,POVOADO VEREDINHA - ZONA RURAL,-40.8208231,-14.869817,-41.085187,-15.211158,47.45,localidade,media,"localidade VEREDINHA (777 enderecos, raio 1.2 km) | distrito Veredinha",pilha de 12 locais em 50 m (12 localidades rurais distintas)
2933307,Vitória da Conquista,2016,40,1880,CENTRO EDUCACIONAL TOBIAS BARRETO,DISTRITO VEREDINHA,POVOADO VEREDINHA - ZONA RURAL,-40.8208231,-14.869817,-41.085187,-15.211158,47.45,localidade,media,"localidade VEREDINHA (777 enderecos, raio 1.2 km) | distrito Veredinha",pilha de 12 locais em 50 m (12 localidades rurais distintas)
2933307,Vitória da Conquista,2018,40,1880,CENTRO EDUCACIONAL TOBIAS BARRETO,DISTRITO VEREDINHA,POVOADO VEREDINHA - ZONA RURAL,-40.8208231,-14.869817,-41.085187,-15.211158,47.45,localidade,media,"localidade VEREDINHA (777 enderecos, raio 1.2 km) | distrito Veredinha",pilha de 12 locais em 50 m (12 localidades rurais distintas)
2933307,Vitória da Conquista,2020,40,1880,CENTRO EDUCACIONAL TOBIAS BARRETO,DISTRITO VEREDINHA,POVOADO VEREDINHA - ZONA RURAL,-40.8208231,-14.869817,-41.085187,-15.211158,47.45,localidade,media,"localidade VEREDINHA (777 enderecos, raio 1.2 km) | distrito Veredinha",pilha de 13 locais em 50 m (13 localidades rurais distintas)
2933307,Vitória da Conquista,2022,40,1880,CENTRO EDUCACIONAL TOBIAS BARRETO,DISTRITO VEREDINHA,POVOADO VEREDINHA - ZONA RURAL,-40.8208231,-14.869817,-41.085187,-15.211158,47.45,localidade,media,"localidade VEREDINHA (777 enderecos, raio 1.2 km) | distrito Veredinha",pilha de 13 locais em 50 m (13 localidades rurais distintas)
2933307,Vitória da Conquista,2006,40,1899,ESCOLA MUNICIPAL VIRGÍLIO FERRAZ,DISTRITO INHOBIM,POVOADO LAGOA DE MELQUÍADES - ZONA RURAL,-40.8207248,-14.8696662,-41.046647,-15.272371,50.98,localidade,media,"localidade LAGOA DE MELQUIDES ~ (293 enderecos, raio 0.4 km) | distrito Inhobim",pilha de 10 locais em 50 m (10 localidades rurais distintas)
2933307,Vitória da Conquista,2008,40,1899,ESCOLA MUNICIPAL VIRGÍLIO FERRAZ,DISTRITO INHOBIM,POVOADO LAGOA DE MELQUÍADES - ZONA RURAL,-40.8207248,-14.8696662,-41.046647,-15.272371,50.98,localidade,media,"localidade LAGOA DE MELQUIDES ~ (293 enderecos, raio 0.4 km) | distrito Inhobim",pilha de 10 locais em 50 m (10 localidades rurais distintas)
2933307,Vitória da Conquista,2010,40,1899,ESCOLA MUNICIPAL VIRGÍLIO FERRAZ,DISTRITO INHOBIM,POVOADO LAGOA DE MELQUÍADES - ZONA RURAL,-40.8207248,-14.8696662,-41.046647,-15.272371,50.98,localidade,media,"localidade LAGOA DE MELQUIDES ~ (293 enderecos, raio 0.4 km) | distrito Inhobim",pilha de 10 locais em 50 m (10 localidades rurais distintas)
2933307,Vitória da Conquista,2012,40,1899,ESCOLA MUNICIPAL VIRGÍLIO FERRAZ,DISTRITO INHOBIM,POVOADO LAGOA DE MELQUÍADES - ZONA RURAL,-40.8207248,-14.8696662,-41.046647,-15.272371,50.98,localidade,media,"localidade LAGOA DE MELQUIDES ~ (293 enderecos, raio 0.4 km) | distrito Inhobim",pilha de 10 locais em 50 m (10 localidades rurais distintas)
2933307,Vitória da Conquista,2014,40,1899,ESCOLA MUNICIPAL VIRGÍLIO FERRAZ,DISTRITO INHOBIM,POVOADO LAGOA DE MELQUÍADES - ZONA RURAL,-40.8207248,-14.8696662,-41.046647,-15.272371,50.98,localidade,media,"localidade LAGOA DE MELQUIDES ~ (293 enderecos, raio 0.4 km) | distrito Inhobim",pilha de 10 locais em 50 m (10 localidades rurais distintas)
2933307,Vitória da Conquista,2016,40,1899,ESCOLA MUNICIPAL VIRGÍLIO FERRAZ,DISTRITO INHOBIM,POVOADO LAGOA DE MELQUÍADES - ZONA RURAL,-40.8207248,-14.8696662,-41.046647,-15.272371,50.98,localidade,media,"localidade LAGOA DE MELQUIDES ~ (293 enderecos, raio 0.4 km) | distrito Inhobim",pilha de 10 locais em 50 m (10 localidades rurais distintas)
2933307,Vitória da Conquista,2018,40,1899,ESCOLA MUNICIPAL VIRGÍLIO FERRAZ,DISTRITO INHOBIM,POVOADO LAGOA DE MELQUÍADES - ZONA RURAL,-40.8207248,-14.8696662,-41.046647,-15.272371,50.98,localidade,media,"localidade LAGOA DE MELQUIDES ~ (293 enderecos, raio 0.4 km) | distrito Inhobim",pilha de 9 locais em 50 m (9 localidades rurais distintas)
2933307,Vitória da Conquista,2020,40,1899,ESCOLA MUNICIPAL VIRGÍLIO FERRAZ,DISTRITO INHOBIM,POVOADO LAGOA DE MELQUÍADES - ZONA RURAL,-40.8207248,-14.8696662,-41.046647,-15.272371,50.98,localidade,media,"localidade LAGOA DE MELQUIDES ~ (293 enderecos, raio 0.4 km) | distrito Inhobim",pilha de 10 locais em 50 m (10 localidades rurais distintas)
2933307,Vitória da Conquista,2022,40,1899,ESCOLA MUNICIPAL VIRGÍLIO FERRAZ,DISTRITO INHOBIM,POVOADO LAGOA DE MELQUÍADES - ZONA RURAL,-40.8207248,-14.8696662,-41.046647,-15.272371,50.98,localidade,media,"localidade LAGOA DE MELQUIDES ~ (293 enderecos, raio 0.4 km) | distrito Inhobim",pilha de 10 locais em 50 m (10 localidades rurais distintas)
2933307,Vitória da Conquista,2006,40,2011,ESCOLA MUNICIPAL ALICE VELOSO,DISTRITO JOSÉ GONÇALVES,POVOADO ROSEIRA - ZONA RURAL,-40.7165201,-14.6338686,,,,nao corrigido,,sem correspondencia no CNEFE,fora do municipio (5.8 km alem da divisa)
2933307,Vitória da Conquista,2008,40,2011,ESCOLA MUNICIPAL ALICE VELOSO,DISTRITO JOSÉ GONÇALVES,POVOADO ROSEIRA - ZONA RURAL,-40.7165201,-14.6338686,,,,nao corrigido,,sem correspondencia no CNEFE,fora do municipio (5.8 km alem da divisa)
2933307,Vitória da Conquista,2010,40,2011,ESCOLA MUNICIPAL ALICE VELOSO,DISTRITO JOSÉ GONÇALVES,POVOADO ROSEIRA - ZONA RURAL,-40.7165201,-14.6338686,,,,nao corrigido,,sem correspondencia no CNEFE,fora do municipio (5.8 km alem da divisa)
2933307,Vitória da Conquista,2012,40,2011,ESCOLA MUNICIPAL ALICE VELOSO,DISTRITO JOSÉ GONÇALVES,POVOADO ROSEIRA - ZONA RURAL,-40.7165201,-14.6338686,,,,nao corrigido,,sem correspondencia no CNEFE,fora do municipio (5.8 km alem da divisa)
2933307,Vitória da Conquista,2014,40,2011,ESCOLA MUNICIPAL ALICE VELOSO,DISTRITO JOSÉ GONÇALVES,POVOADO ROSEIRA - ZONA RURAL,-40.7165201,-14.6338686,,,,nao corrigido,,sem correspondencia no CNEFE,fora do municipio (5.8 km alem da divisa)
